Finalized HDI table (from 3A and 3B),,,
,Country,HDI,Category
2,Norway,0.949,Very High Human Development
3,Australia,0.939,Very High Human Development
4,Switzerland,0.939,Very High Human Development
5,Germany,0.926,Very High Human Development
6,Denmark,0.925,Very High Human Development
7,Singapore,0.925,Very High Human Development
8,Netherlands,0.924,Very High Human Development
9,Ireland,0.923,Very High Human Development
10,Iceland,0.921,Very High Human Development
11,Canada,0.92,Very High Human Development
12,United States,0.92,Very High Human Development
13,Hong Kong,0.917,Very High Human Development
14,New Zealand,0.915,Very High Human Development
15,Sweden,0.913,Very High Human Development
16,Liechtenstein,0.912,Very High Human Development
17,United Kingdom,0.909,Very High Human Development
18,Japan,0.903,Very High Human Development
19,South Korea,0.901,Very High Human Development
20,Israel,0.899,Very High Human Development
21,Luxembourg,0.898,Very High Human Development
22,France,0.897,Very High Human Development
23,Belgium,0.896,Very High Human Development
24,Finland,0.895,Very High Human Development
25,Austria,0.893,Very High Human Development
26,Slovenia,0.89,Very High Human Development
27,Italy,0.887,Very High Human Development
210,Spain,0.884,Very High Human Development
31,Czech Republic,0.878,Very High Human Development
41,Greece,0.866,Very High Human Development
51,Brunei,0.865,Very High Human Development
61,Estonia,0.865,Very High Human Development
71,Andorra,0.858,Very High Human Development
81,Cyprus,0.856,Very High Human Development
91,Malta,0.856,Very High Human Development
101,Qatar,0.856,Very High Human Development
111,Poland,0.855,Very High Human Development
121,Lithuania,0.848,Very High Human Development
131,Chile,0.847,Very High Human Development
141,Saudi Arabia,0.847,Very High Human Development
151,Slovakia,0.845,Very High Human Development
161,Portugal,0.843,Very High Human Development
171,United Arab Emirates,0.84,Very High Human Development
181,Hungary,0.836,Very High Human Development
191,Latvia,0.83,Very High Human Development
201,Argentina,0.827,Very High Human Development
211,Croatia,0.827,Very High Human Development
221,Bahrain,0.824,Very High Human Development
231,Montenegro,0.807,Very High Human Development
241,Russia,0.804,Very High Human Development
251,Romania,0.802,Very High Human Development
261,Kuwait,0.8,Very High Human Development
212,Belarus,0.796,High Human Development
32,Oman,0.796,High Human Development
42,Barbados,0.795,High Human Development
52,Uruguay,0.795,High Human Development
62,Bulgaria,0.794,High Human Development
72,Kazakhstan,0.794,High Human Development
82,Bahamas,0.792,High Human Development
92,Malaysia,0.789,High Human Development
102,Palau,0.788,High Human Development
