"","ID","DP_1","DP_2","DP_3","DP_4","DP_5","AIP_1","AIP_2","AIP_3","AIP_4","AIP_5","AIP_6","AIP_7","AIP_8","AIP_9","AIP_10","AIP_11","AIP_12","AIP_13","AIP_14","AIP_15","GP_1","GP_2","GP_3","GP_4","GP_5","GP_6","GP_7","GP_8","GP_9","GP_10","GP_11","GP_12","GP_13","GP_14","GP_15","GP_16","GP_17","GP_18","GP_19","GP_20","SWLS_1","SWLS_2","SWLS_3","SWLS_4","SWLS_5","Self_Score","Others_Score","DP_Avg","AIP_Avg","GP_Avg","SWLS_Avg","Country_Res","Age","Gender","Kids","Edu","Work_Status","Annual_Inc","Current_Occ","Employ_Yrs","Employ_Mths","Comm_Size","Married","Num_sons","Num_daught","HDI","HDI_Cat"
"1",1,3,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,5,1,1,1,1,1,1,5,1,5,5,5,5,5,5,"no","no",1.4,1.4,1.6,5,"El Salvador",67.5,"Male","Yes","ma","retired",25000,NA,9,0,"Large-City","Divorced",1,5,0.68,"Medium"
"2",2,3,4,3,3,3,3,1,4,3,3,4,3,3,3,3,4,2,2,2,4,4,2,2,2,2,2,4,2,4,2,3,4,2,2,3,4,3,3,4,4,3,4,4,4,3,"yes","yes",3.2,2.93333,2.9,3.6,"Bolivia",45,"Male","Yes","deg","part-time",35000,NA,0,0,"Village","Married",8,1,0.674,"Medium"
"3",3,5,5,2,3,3,5,4,4,5,5,5,5,4,5,5,4,3,5,4,3,5,2,2,4,3,1,3,2,5,4,5,5,3,4,5,2,3,5,5,4,2,2,2,3,4,"yes","yes",3.6,4.4,3.6,2.6,"Cyprus",19,"Female","No","dip","student",NA,NA,0,0,"Large Town","Single",1,0,0.856,"Very High"
"4",4,3,3,3,3,3,2,1,4,3,5,3,4,5,4,5,4,3,4,2,1,4,1,3,3,2,3,4,5,4,1,3,4,3,3,4,4,3,4,5,1,2,4,2,2,2,"yes","yes",3,3.33333,3.2,2.4,"Czech Republic",37.5,"Male","Yes","ma","full-time",45000,NA,14,0,"Large Town","Married",1,1,0.878,"Very High"
"5",5,3,3,2,1,1,1,1,3,3,2,2,2,2,1,1,2,1,2,1,2,4,1,2,4,5,2,4,2,4,1,2,3,2,4,3,2,3,2,3,4,4,4,4,3,4,"no","no",2,1.73333,2.85,3.8,"Czech Republic",28,"Female","No","deg","full-time",35000,NA,1,0,"Village","Single",1,0,0.878,"Very High"
"6",6,3,4,3,2,2,2,5,5,5,5,3,5,4,4,5,3,5,4,5,5,5,5,2,5,4,4,5,4,4,3,4,4,3,4,4,4,4,4,4,4,3,2,4,4,3,"yes","yes",2.8,4.33333,4,3.2,"Czech Republic",23,"Female","No","deg","full-time",15000,NA,1,0,"Small Town","Single",1,0,0.878,"Very High"
"7",7,3,4,3,2,2,3,1,1,2,3,3,1,4,5,5,3,2,3,1,4,4,1,1,1,1,2,3,2,4,1,4,2,3,2,4,3,1,4,4,2,3,4,3,3,2,"yes","yes",2.8,2.73333,2.45,3,"Morocco",67.5,"Female","No","ma","part-time",NA,NA,8,0,"Large Town","Divorced",1,0,0.647,"Medium"
"8",8,4,3,4,4,3,4,4,4,4,4,2,5,2,4,3,2,4,3,4,5,5,1,3,4,3,3,4,3,4,4,3,5,2,2,4,4,3,4,4,4,3,3,3,2,3,"yes","yes",3.6,3.6,3.45,2.8,"Ukraine",37.5,"Male","No","grade","part-time",10000,NA,NA,0,"Village","Single",1,0,0.743,"High"
"9",9,2,2,4,4,4,3,3,3,4,4,2,2,4,2,2,4,4,4,3,3,3,4,3,4,2,2,4,2,4,1,5,2,3,2,1,5,5,1,1,3,4,4,5,4,4,"no","no",3.2,3.13333,2.85,4.2,"Ukraine",24,"Female","No","ma","full-time",250000,NA,2,0,"Village","Single",1,0,0.743,"High"
"10",10,5,5,5,5,5,3,3,5,3,5,1,5,5,5,5,4,4,4,4,5,5,3,3,1,5,5,5,4,5,3,5,5,4,4,4,5,3,5,5,5,1,4,2,4,1,"yes","yes",5,4.06667,4.2,2.4,"Qatar",45,"Male","Yes","ma","full-time",87500,NA,14,0,"Village","Married",7,0,0.856,"Very High"
"11",11,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,4,4,2,4,2,4,2,2,3,3,4,4,4,2,2,4,2,4,2,2,2,2,2,"yes","yes",3,3,3,2,"Antigua",32.5,"Male","Yes","dip","full-time",25000,NA,6,0,"Rural/Country","Divorced",7,0,NA,NA
"12",12,3,3,4,2,2,4,3,2,4,4,4,4,2,4,4,1,2,4,4,4,3,4,2,2,4,2,3,3,4,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,"no","yes",2.8,3.33333,3.35,4,"Vietnam",55,"Male","Yes","phd","full-time",35000,NA,0,0,"Village","Married",1,2,0.683,"Medium"
"13",13,5,5,5,4,4,1,1,4,1,2,5,5,4,4,5,4,3,1,1,5,4,3,4,4,1,4,3,5,2,1,2,4,3,2,4,5,5,4,5,4,5,5,4,5,5,"yes","yes",4.6,3.06667,3.45,4.8,"Lithuania",25,"Male","No","deg","full-time",15000,NA,0,0,"Small Town","Single",1,0,0.848,"Very High"
"14",14,5,4,5,4,4,2,4,3,5,4,5,4,3,4,4,5,3,5,4,4,4,3,4,4,3,3,3,5,4,5,4,4,3,3,4,3,4,4,3,3,3,3,4,2,2,"yes","yes",4.4,3.93333,3.65,2.8,"Saudi Arabia",28,"Male","No","grade","full-time",150000,NA,1,3,"Small Town","Single",1,0,0.847,"Very High"
"15",15,2,2,1,1,1,2,2,3,2,1,2,2,3,2,2,4,3,3,2,2,2,2,3,3,2,3,2,3,2,1,5,2,2,2,3,2,2,3,2,3,2,1,3,2,1,"no","yes",1.4,2.33333,2.45,1.8,"Saudi Arabia",55,"Male","Yes","ltuni","full-time",250000,NA,NA,0,"Small Town","Separated",8,1,0.847,"Very High"
"16",16,4,4,3,3,3,2,1,1,3,2,3,2,4,1,4,4,2,3,2,2,4,3,1,4,3,2,4,3,4,3,3,4,2,2,3,3,3,3,4,1,1,3,2,3,2,"yes","no",3.4,2.4,2.95,2.2,"Bulgaria",55,"Female","Yes","phd","full-time",10000,NA,NA,0,"Small Town","Widowed",8,0,0.794,"High"
"17",17,5,5,5,5,4,1,1,3,1,5,5,5,4,5,5,5,3,2,1,2,5,3,4,3,4,2,5,4,5,5,1,5,3,3,5,2,5,5,5,5,1,1,1,1,1,"yes","yes",4.8,3.2,3.95,1,"Bulgaria",28,"Female","No","ltuni","unemployed",10000,NA,0,0,"Village","Married",1,0,0.794,"High"
"18",18,4,4,4,2,2,3,2,5,2,4,4,3,4,3,4,3,2,3,2,3,4,3,2,2,3,2,3,3,4,4,3,4,3,4,4,4,4,5,5,4,3,3,2,3,2,"yes","no",3.2,3.13333,3.5,2.6,"Macedonia",55,"Female","No","phd","full-time",10000,NA,5,0,"Small Town","Married",1,0,0.748,"High"
"19",19,5,4,5,4,4,2,2,2,3,4,5,3,4,4,5,4,5,4,4,5,1,3,4,5,1,4,4,3,5,4,5,4,3,4,5,5,4,5,4,4,5,4,3,4,2,"yes","no",4.4,3.73333,3.85,3.6,"Sri Lanka",28,"Female","Yes","deg","full-time",NA,NA,8,9,"Small Town","Married",1,1,0.766,"High"
"20",20,4,4,4,4,4,4,2,2,3,4,2,2,3,2,3,4,1,2,1,3,4,1,3,2,4,3,4,4,4,2,2,3,2,2,4,4,2,3,4,3,2,3,2,3,2,"yes","yes",4,2.53333,3,2.4,"Ecuador",45,"Male","Yes","ma","full-time",55000,NA,1,0,"Village","Married",7,1,0.739,"High"
"21",21,5,5,4,4,4,3,5,4,5,5,4,5,5,5,5,5,5,4,5,4,5,4,5,3,5,4,5,5,5,4,5,5,5,4,5,5,5,5,4,4,3,3,3,3,2,"yes","yes",4.4,4.6,4.6,2.8,"Ecuador",45,"Male","Yes","deg","full-time",35000,NA,5,0,"Village","Married",7,2,0.739,"High"
"22",22,4,4,4,4,4,5,3,5,5,4,4,3,4,2,4,5,4,5,5,4,4,4,4,4,2,3,4,4,4,3,3,3,4,4,4,4,4,4,2,3,3,2,3,2,1,"yes","no",4,4.13333,3.55,2.2,"Ecuador",37.5,"Male","Yes","dip","full-time",10000,NA,3,0,"Village","Divorced",8,0,0.739,"High"
"23",23,3,3,3,4,3,3,2,2,2,3,2,3,3,2,3,4,2,4,2,3,4,2,4,3,3,3,3,4,4,2,2,3,2,4,3,4,3,3,4,4,3,2,2,3,2,"yes","no",3.2,2.66667,3.2,2.4,"Afghanistan",55,"Male","No","deg","full-time",87500,NA,0,6,"Large Town","Married",1,0,0.479,"Low"
"24",24,4,3,4,3,2,1,2,1,4,3,5,4,4,3,3,3,4,3,3,3,3,2,2,5,3,3,3,5,3,1,2,3,1,1,3,3,3,4,3,3,1,1,1,3,1,"no","yes",3.2,3.06667,2.8,1.4,"Afghanistan",55,"Female","Yes","deg","full-time",10000,NA,7,0,"Village","Divorced",4,0,0.479,"Low"
"25",25,2,3,2,3,5,2,2,3,4,2,2,2,1,1,3,5,4,3,3,4,4,4,1,4,4,4,4,3,2,2,3,3,2,3,2,4,4,4,3,4,2,4,3,3,2,"yes","no",3,2.73333,3.2,2.8,"Afghanistan",80,"Female","No","grade","unemployed",10000,NA,0,0,"Medium-Sized","Single",1,0,0.479,"Low"
"26",26,4,4,4,3,3,3,4,5,4,3,4,3,5,4,3,5,5,1,5,4,4,4,5,3,1,3,4,4,4,4,4,4,3,4,4,4,4,4,3,4,3,3,2,2,2,"yes","yes",3.6,3.86667,3.7,2.4,"Afghanistan",55,"Male","Yes","ma","full-time",150000,NA,0,0,"Large Town","Married",4,2,0.479,"Low"
"27",27,5,5,5,5,5,1,5,4,5,5,5,5,5,2,5,4,3,5,1,5,5,3,2,1,5,1,5,5,5,5,5,5,1,1,5,5,5,5,5,5,1,3,1,4,1,"yes","no",5,4,3.95,2,"Panama",20,"Male","No","high","student",NA,NA,0,0,"Village","Single",1,0,0.788,"High"
"28",28,4,4,4,4,4,1,1,1,2,3,4,2,5,3,4,2,2,2,2,2,4,2,2,5,1,2,5,3,4,2,2,5,1,2,4,4,1,2,4,3,2,3,2,4,2,"yes","no",4,2.4,2.9,2.6,"Guam",45,"Female","No","phd","full-time",87500,NA,10,6,"Small Town","Divorced",1,0,NA,NA
"29",29,3,4,4,3,3,1,1,4,3,4,4,4,3,2,3,3,3,3,2,2,4,2,2,3,4,3,3,3,3,2,3,3,3,5,3,4,3,3,3,4,4,4,4,4,4,"yes","yes",3.4,2.8,3.15,4,"Pakistan",37.5,"Male","Yes","ma","full-time",10000,NA,0,0,"Small Town","Married",8,1,0.55,"Medium"
"30",30,5,5,4,4,4,3,4,5,4,4,4,5,4,4,5,3,4,3,4,3,5,3,3,4,3,2,5,4,4,3,5,5,3,3,4,4,3,4,5,4,1,3,3,2,1,"yes","yes",4.4,3.93333,3.8,2,"Estonia",16.5,"Male","No","lthigh","student",NA,NA,10,0,"Small Town","Single",1,0,0.865,"Very High"
"31",31,5,5,5,1,1,1,5,5,5,4,2,4,4,5,4,1,4,1,5,5,4,2,4,5,3,3,3,5,4,4,2,4,2,2,4,5,1,4,4,4,3,3,3,2,3,"yes","yes",3.4,3.66667,3.45,2.8,"Kenya",23,"Female","No","deg","full-time",35000,NA,0,3,"Village","Single",1,0,0.555,"Medium"
"32",32,2,2,3,1,1,1,3,3,3,1,3,2,2,1,1,3,3,3,3,2,2,3,3,3,3,4,3,3,3,2,4,3,3,3,3,1,3,3,3,3,4,4,4,3,3,"no","no",1.8,2.26667,2.9,3.6,"Guyana",32.5,"Female","No","ltuni","full-time",55000,NA,6,9,"Village","Single",1,0,0.638,"Medium"
"33",33,5,5,5,5,5,3,4,3,5,4,5,5,5,5,5,5,5,4,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1,1,1,"yes","yes",5,4.53333,4.95,1,"Puerto Rico",23,"Male","No","ma","student",10000,NA,0,9,"Village","Single",1,0,NA,NA
