"","Country","Count"
"77","South Africa",12
"82","Switzerland",12
"67","Philippines",11
"35","Greece",10
"11","Belgium",9
"25","Denmark",9
"85","Turkey",9
"38","Hong Kong",7
"69","Portugal",7
"76","Slovenia",6
"68","Poland",5
"72","Romania",5
"1","Afghanistan",4
"19","Chile",4
"22","Croatia",4
"55","Malaysia",4
"75","Singapore",4
"3","Algeria",3
"6","Argentina",3
"8","Austria",3
"24","Czech Republic",3
"27","Ecuador",3
"70","Puerto Rico",3
"89","Uruguay",3
"2","Albania",2
"4","Andorra",2
"12","Bermuda",2
"17","Bulgaria",2
"21","Columbia",2
"34","Ghana",2
"42","Iran",2
"56","Malta",2
"66","Peru",2
"74","Saudi Arabia",2
"78","South Korea",2
"84","Thailand",2
"86","Ukraine",2
"90","Venezuela",2
"92","Yugoslavia",2
"5","Antigua",1
"9","Bahamas",1
"10","Barbados",1
"13","Bolivia",1
"14","Botswana",1
"16","Brunei",1
"23","Cyprus",1
"26","Dominican Republic",1
"28","Egypt",1
"29","El Salvador",1
"36","Guam",1
"37","Guyana",1
"39","Hungary",1
"40","Iceland",1
"46","Jamaica",1
"48","Kazakhstan",1
"49","Kenya",1
"51","Lithuania",1
"52","Luxembourg",1
"53","Macao",1
"54","Macedonia",1
"58","Morocco",1
"59","Myanmar",1
"62","Nicaragua",1
"64","Pakistan",1
"65","Panama",1
"71","Qatar",1
"73","Russia",1
"80","Sri Lanka",1
"83","Taiwan",1
"91","Vietnam",1
"30","Estonia",0
"50","Lebanon",0
